video_id,author,date,comments,likeCount,is_reply
uDIKx8ozFfc,@NickPeitsch,2022-03-18T17:02:58Z,Thanks for watching! Which stock do you plan to retire on & by what year?,11,FALSE
uDIKx8ozFfc,@EROBLOX2014,2022-03-19T03:23:02Z,I sold one of my property and purchased 100 shares of Amazon stocks at 2723!! And also I purchased 78 shares of Google at 2558!!!,7,TRUE
uDIKx8ozFfc,@NickPeitsch,2022-03-19T06:05:31Z,Those are amazing cost basis!,4,TRUE
uDIKx8ozFfc,@EROBLOX2014,2022-03-19T10:02:05Z,@@NickPeitsch thank you.,1,TRUE
uDIKx8ozFfc,@motoarzan791,2022-03-19T15:57:45Z,DO IT FOR TELSA!!,2,TRUE
uDIKx8ozFfc,@EROBLOX2014,2022-03-19T19:08:12Z,@@motoarzan791 ok will do,0,TRUE
uDIKx8ozFfc,@williamtaylor6623,2024-08-05T16:29:04Z,Very good analysis....you are very handsome as well!,0,FALSE
uDIKx8ozFfc,@stanmoney8470,2024-07-14T20:34:58Z,You don't know! That's only 5 yrs away! I wish I could retire in 5 yrs !,0,FALSE
uDIKx8ozFfc,@LucidLyles,2024-07-04T14:24:06Z,Amazon crushed it,0,FALSE
uDIKx8ozFfc,@Viv8ldi,2024-06-11T11:19:45Z,"Oh, only 78 shares, easy peacy",0,FALSE
uDIKx8ozFfc,@KetoCarnivoreLifestyle,2024-03-08T19:14:14Z,Bought 1000 shares in 1998. Sold in 2001 when .coms were failing. Huge mistake. Biggest mistake ever.,0,FALSE
uDIKx8ozFfc,@Johngoodman454,2024-02-28T09:05:42Z,I have shares myself lol,1,FALSE
uDIKx8ozFfc,@yvonneqvarnstrom79,2024-02-23T13:00:29Z,"GREAT VIDEO - ALL KIDS Should watch this and well, all grownups too : ) However, why compare with SNP500 return, when NASDAQ returned way higher returns over time? 6,279% in 40 years whereas SNP: 3,129% which is almost HALF of NASDAQ?????? Do one where your audience invests 100% in NASDAQ or an AI fund as eg. IVNOX, which might beat NASDAQ by 2x or 3x even? Then the equation will - look very different : ) Better, with an expected 32% CAGR the coming decade.  NJOY.",0,FALSE
uDIKx8ozFfc,@GodCares777,2024-02-07T21:36:07Z,I have 8 shares,0,FALSE
uDIKx8ozFfc,@shukranisengo7998,2024-01-17T10:41:42Z,"Observing the events unfolding globally,The financial market has faced challenges in the last month,with all the three indexes recording losses in recent weeks. My $400,000  portfolio is down by approximately 20%, any recommendations to scale up my returns before retirement will be highly appreciated.",0,FALSE
uDIKx8ozFfc,@eriklong6152,2024-01-17T10:42:27Z,Well its the start of the year so it will be early to say much especially considering the fact that I rely solely on my CPA for all business decisions.I have confidence that everything will turn out well for you.,0,TRUE
uDIKx8ozFfc,@CaptainBenjamins,2023-11-30T15:27:56Z,"Fun Fact: Amazon has employed more PhD economists than any company in the world, 2nd only to the US Federal Reserve.  

These experts play a crucial role in steering Amazon toward becoming the diversified company that it is today, with involvement across various sectors of the US economy.  Everybody needs to know that Amazon is renowned for being the most customer-centric company ever and they have the revenue to show for it.",0,FALSE
uDIKx8ozFfc,@Ontario100,2023-10-24T21:43:49Z,I hope you are right.  It will be nice to watch this again in 2030.  Thanks,1,FALSE
uDIKx8ozFfc,@blake-nw4pd,2023-06-01T16:59:53Z,Great video,0,FALSE
uDIKx8ozFfc,@krishnachandradas8386,2023-04-04T14:47:47Z,"dude don't do this  videos  do you know sock splits  
do you have mutual fund license
Amazon has had three stock splits in its history.

The first stock split was a 2-for-1 split in June 1998 when Amazon's stock price was trading around $85 per share.

The second stock split was a 3-for-1 split in January 1999 when Amazon's stock price was trading around $110 per share.

The third stock split was a 2-for-1 split in September 2022 when Amazon's stock price was trading around $3,500 per share.",1,FALSE
uDIKx8ozFfc,@tuanoful,2023-03-17T17:51:09Z,If only we knew the future....,0,FALSE
uDIKx8ozFfc,@JohnnyGemini,2023-01-08T12:14:48Z,I bet y’all all sold your stocks hsha,0,FALSE
uDIKx8ozFfc,@stevejones8789,2023-01-05T12:53:14Z,I'm confused share prices today are 85USD but you're saying they are in the thousands of dollars per share?,0,FALSE
