Date,Close,Volume,Open,High,Low
11-11-2024,583.17,10209050,586.36,587.0,576.51
08-11-2024,589.34,9415699,591.54,593.1,584.52
07-11-2024,591.7,14653710,576.89,594.7999,575.21
06-11-2024,572.05,18305430,562.75,573.0,555.1679
05-11-2024,572.43,9775379,567.305,573.48,566.67
04-11-2024,560.68,12064600,564.1,568.69,557.89
01-11-2024,567.16,15303240,567.605,573.67,562.56
31-10-2024,567.58,26838400,585.0,589.9,563.01
30-10-2024,591.8,26864930,600.98,601.2,589.38
29-10-2024,593.28,13019090,580.145,593.67,575.398
28-10-2024,578.16,10925130,582.0,583.7499,574.12
25-10-2024,573.25,11337870,573.935,581.29,571.72
24-10-2024,567.78,7184651,567.125,568.8799,561.52
23-10-2024,563.69,14248420,579.97,585.0,562.5
22-10-2024,582.01,8544463,574.29,583.53,572.12
21-10-2024,575.16,8171879,576.03,577.2399,569.11
18-10-2024,576.47,7694274,581.1,583.9675,575.25
17-10-2024,576.93,8701158,583.33,584.97,575.2
16-10-2024,576.79,11268380,581.395,582.08,574.03
15-10-2024,586.27,9564236,590.16,590.61,580.143
14-10-2024,590.42,8251971,594.22,600.1,589.96
11-10-2024,589.95,8587051,584.83,591.21,582.71
10-10-2024,583.83,7740449,587.57,590.23,582.52
09-10-2024,590.51,9529707,593.99,594.39,581.61
08-10-2024,592.89,7857377,589.69,593.56,585.97
07-10-2024,584.78,12014200,598.22,602.95,584.04
04-10-2024,595.94,14199790,583.73,596.85,581.43
03-10-2024,582.77,11580980,570.15,583.36,568.73
02-10-2024,572.81,6524650,574.86,576.0,569.34
01-10-2024,576.47,15259270,577.98,583.04,570.1
30-09-2024,572.44,12807210,567.7,574.68,564.8
27-09-2024,567.36,9398367,570.1,570.8399,564.51
26-09-2024,567.84,14400790,575.73,577.4,562.3501
25-09-2024,568.31,16543350,564.05,576.88,563.72
24-09-2024,563.33,12992960,566.68,567.745,554.19
23-09-2024,564.41,12830670,569.5,573.9799,562.41
20-09-2024,561.35,22066820,560.0,564.5,556.3001
19-09-2024,559.1,15646950,550.0,562.07,546.52
18-09-2024,537.95,10323540,537.065,544.2,533.9026
17-09-2024,536.315,11690780,537.6,542.1,530.57
16-09-2024,533.28,9527646,524.54,534.1,517.4
13-09-2024,524.62,10321420,520.34,527.581,517.11
12-09-2024,525.6,11993340,517.05,526.71,515.22
11-09-2024,511.83,10782530,507.01,513.12,495.6
10-09-2024,504.79,9899022,508.16,514.18,500.0278
09-09-2024,504.79,11047830,506.16,511.33,502.08
06-09-2024,500.27,14744520,521.88,524.5849,498.25
05-09-2024,516.86,8640888,511.72,521.6295,511.15
04-09-2024,512.74,8335207,506.07,516.59,504.07
03-09-2024,511.76,12459110,519.64,525.49,508.6176
30-08-2024,521.31,9157541,521.35,523.54,515.2
29-08-2024,518.22,8317424,519.05,527.2,515.6789
28-08-2024,516.78,9106077,517.675,521.085,512.45
27-08-2024,519.1,6282720,518.98,524.01,515.31
26-08-2024,521.12,9584002,527.6,528.0,514.95
23-08-2024,528.0,11323940,536.92,539.87,525.06
22-08-2024,531.93,15708290,537.0,544.23,528.59
21-08-2024,535.16,13423290,527.15,539.4,526.935
20-08-2024,526.73,7944391,528.35,531.09,525.88
19-08-2024,529.28,9879713,526.87,531.66,522.76
16-08-2024,527.42,14776680,531.9,533.66,524.66
15-08-2024,537.33,13482140,531.79,539.77,526.7
14-08-2024,526.76,11444190,528.06,534.0,523.13
13-08-2024,528.54,13743840,520.01,531.4999,518.15
12-08-2024,515.95,9767422,516.86,518.02,509.1
09-08-2024,517.77,13696640,507.71,518.34,505.7
08-08-2024,509.63,16156840,497.5,509.96,494.72
07-08-2024,488.92,20105310,503.13,510.15,486.86
06-08-2024,494.09,20954960,479.0,502.56,478.65
05-08-2024,475.73,21396190,451.345,483.48,450.8
02-08-2024,488.14,24044660,489.0,501.145,476.15
01-08-2024,497.74,43083080,521.0,527.1709,492.1
31-07-2024,474.83,24285780,471.02,476.5,466.75
30-07-2024,463.19,11390440,467.0,472.73,456.7
29-07-2024,465.71,11339630,469.88,473.96,465.02
26-07-2024,465.7,14222390,464.195,469.77,459.42
25-07-2024,453.41,18240490,463.26,463.548,442.65
24-07-2024,461.27,17649740,472.305,476.3,460.58
23-07-2024,488.69,9455527,489.84,495.22,487.72
22-07-2024,487.4,12023090,486.575,492.06,483.9
19-07-2024,476.79,15149420,476.06,486.71,475.71
18-07-2024,475.85,19267160,475.0,479.2393,464.54
17-07-2024,461.99,28076600,479.17,479.17,459.12
16-07-2024,489.79,14075830,501.5,503.9499,485.79
15-07-2024,496.16,12539160,498.63,506.6799,493.37
12-07-2024,498.87,19750540,497.755,508.09,494.23
11-07-2024,512.7,16458250,530.89,535.46,508.3733
10-07-2024,534.69,10983280,530.79,538.88,528.36
09-07-2024,530.0,8769088,533.75,537.48,528.1901
08-07-2024,529.32,14917500,542.35,542.81,526.65
05-07-2024,539.91,21354090,511.6,540.87,511.6
03-07-2024,509.96,6005615,506.37,511.28,506.02
02-07-2024,509.5,7739479,500.76,510.5,499.45
01-07-2024,504.68,10328150,504.95,506.58,493.17
28-06-2024,504.22,15855140,517.15,521.88,503.84
27-06-2024,519.56,10121200,514.25,522.8799,513.9
26-06-2024,513.12,8882337,506.645,513.81,504.6765
25-06-2024,510.6,12109770,497.05,510.71,495.5
24-06-2024,498.91,13525280,499.2,507.8,494.29
21-06-2024,494.78,23130730,503.45,503.45,492.39
20-06-2024,501.7,11801180,502.0,503.67,496.77
18-06-2024,499.49,13060430,504.56,506.0,495.02
17-06-2024,506.63,11266600,501.67,510.75,496.01
14-06-2024,504.16,10243350,502.65,507.15,500.75
13-06-2024,504.1,9954621,505.71,509.36,501.36
12-06-2024,508.84,11983230,513.99,514.01,504.47
11-06-2024,507.47,9673715,500.16,507.6,498.27
10-06-2024,502.6,11236920,493.86,502.66,493.41
07-06-2024,492.96,9380745,495.91,498.91,490.1701
06-06-2024,493.76,10667340,492.98,502.82,490.89
05-06-2024,495.06,15690480,484.45,496.65,483.91
04-06-2024,476.99,7088718,477.0,478.89,473.2322
03-06-2024,477.49,11279390,470.86,479.6,468.24
31-05-2024,466.83,16919810,465.8,469.12,454.4601
30-05-2024,467.05,10735230,471.67,471.73,464.71
29-05-2024,474.36,9226218,474.66,479.85,473.7
28-05-2024,479.92,10175770,476.575,480.86,474.84
24-05-2024,478.22,12024250,467.62,479.8499,466.3
23-05-2024,465.78,11747910,472.88,474.3581,461.54
22-05-2024,467.78,10078610,467.87,473.7199,465.65
21-05-2024,464.63,11742190,467.12,470.7,462.27
20-05-2024,468.84,11745080,469.95,473.2,467.04
17-05-2024,471.91,10807290,470.83,472.8,468.42
16-05-2024,473.23,16608180,475.0,477.69,472.75
15-05-2024,481.54,13100470,474.98,482.4999,471.2
14-05-2024,471.85,10478550,463.37,472.54,460.08
13-05-2024,468.01,14668800,472.75,473.35,462.85
10-05-2024,476.2,10750000,477.09,477.5,469.6
09-05-2024,475.42,9437651,470.0,476.08,467.63
08-05-2024,472.6,11683930,463.5,475.58,463.002
07-05-2024,468.24,13406820,466.29,471.53,461.31
06-05-2024,465.68,15094630,455.58,466.16,453.34
03-05-2024,451.96,16489060,445.93,454.17,443.85
02-05-2024,441.68,15221320,438.84,443.96,432.28
01-05-2024,439.19,20344950,428.6,449.96,427.11
30-04-2024,430.17,18429500,431.05,439.6199,429.72
29-04-2024,432.62,21502650,439.56,439.76,428.56
26-04-2024,443.29,32691440,441.46,446.44,431.96
25-04-2024,441.38,82890740,421.4,445.77,414.5
24-04-2024,493.5,37772680,508.06,510.0,484.58
23-04-2024,496.1,15079200,491.25,498.76,488.97
22-04-2024,481.73,17271130,489.715,492.01,473.4
19-04-2024,481.07,25215360,502.8,502.8,475.73
18-04-2024,501.8,14808670,499.82,512.21,499.04
17-04-2024,494.17,12193740,503.1,503.16,487.14
16-04-2024,499.76,9847925,498.11,504.7699,497.11
15-04-2024,500.23,13512890,516.72,518.53,497.28
