Date,Close,Volume,Open,High,Low
11-11-2024,166.03,6364403,167.0,168.52,165.775
08-11-2024,167.71,7506566,164.015,167.75,163.93
07-11-2024,163.41,9056725,161.96,163.9534,161.475
06-11-2024,161.05,11473690,165.61,166.04,159.81
05-11-2024,165.76,4397441,164.33,166.32,164.33
04-11-2024,165.08,5130338,165.72,166.27,164.58
01-11-2024,165.1,5455095,165.31,166.35,164.985
31-10-2024,165.18,6056514,165.76,167.04,165.09
30-10-2024,166.16,5518085,167.09,167.32,165.96
29-10-2024,167.17,5681358,168.86,168.86,166.83
28-10-2024,169.3,5754043,169.28,169.66,168.375
25-10-2024,168.22,4877911,168.92,169.4,168.041
24-10-2024,169.62,5861303,169.42,169.96,168.93
23-10-2024,169.58,4837810,169.55,170.1656,168.725
22-10-2024,169.7,7511671,168.57,170.73,168.57
21-10-2024,169.54,5522460,170.975,171.48,168.45
18-10-2024,171.28,8372536,170.3,172.21,168.46
17-10-2024,172.28,7045586,172.18,173.68,171.76
16-10-2024,172.38,6117053,171.88,172.59,170.89
15-10-2024,173.57,7172262,172.89,174.905,172.815
14-10-2024,172.51,5909158,171.02,172.84,170.74
11-10-2024,171.09,7036480,169.46,171.41,168.97
10-10-2024,168.95,6932308,168.8,169.79,168.37
09-10-2024,169.27,8758806,168.38,169.805,168.0
08-10-2024,168.16,7472965,166.85,168.59,166.27
07-10-2024,167.12,6325281,169.16,169.58,166.87
04-10-2024,168.88,6003668,168.85,170.09,168.26
03-10-2024,170.12,4794348,171.37,171.37,169.77
02-10-2024,171.92,6212890,172.01,172.45,171.08
01-10-2024,173.04,7130825,173.24,174.0,172.2
30-09-2024,173.2,6296653,173.73,174.0,172.71
27-09-2024,173.55,4599709,173.01,174.445,172.58
26-09-2024,173.21,4957367,171.5,174.61,171.36
25-09-2024,172.26,8916483,174.07,174.68,172.06
24-09-2024,173.24,5422351,172.88,174.5,172.615
23-09-2024,173.77,10265200,174.01,175.185,172.5901
20-09-2024,174.22,28647460,171.51,174.54,171.5
19-09-2024,171.54,8692016,172.88,173.16,170.38
18-09-2024,173.92,5102884,175.05,175.9,172.57
17-09-2024,175.88,4757247,176.625,176.97,175.36
16-09-2024,177.24,6892335,174.71,177.31,174.32
13-09-2024,174.08,3917986,173.37,174.54,172.8
12-09-2024,173.47,4839752,173.9,174.6111,172.44
11-09-2024,173.92,6828173,176.6,177.0,173.63
10-09-2024,177.79,6396311,175.91,177.94,175.91
09-09-2024,176.06,6450204,175.54,176.84,174.66
06-09-2024,175.59,5785684,175.76,177.04,175.34
05-09-2024,175.47,6061865,175.99,176.55,174.67
04-09-2024,175.9,7517526,173.63,176.0,173.63
03-09-2024,174.52,10101420,171.03,175.0,170.99
30-08-2024,171.54,7301617,170.16,171.88,169.69
29-08-2024,170.03,4413165,169.75,170.6,168.94
28-08-2024,169.06,5645040,169.42,171.2,168.58
27-08-2024,169.25,4456635,170.83,171.1,169.08
26-08-2024,170.35,6472417,168.695,170.97,168.695
23-08-2024,169.17,4771267,170.05,170.11,168.25
22-08-2024,170.15,4097382,170.88,171.24,169.14
21-08-2024,170.16,4082026,170.19,171.89,169.6
20-08-2024,170.41,4513600,168.77,170.56,168.11
19-08-2024,168.42,3885315,168.18,169.235,168.17
16-08-2024,167.89,5640925,167.82,168.35,166.8
15-08-2024,167.92,9491625,169.46,169.68,166.75
14-08-2024,168.8,5476675,166.5,169.47,165.82
13-08-2024,167.29,3770007,167.34,167.8,166.46
12-08-2024,166.81,7208103,169.4,169.65,166.2
09-08-2024,170.54,5377378,170.12,171.26,169.65
08-08-2024,170.87,6386941,169.42,171.56,169.0
07-08-2024,170.02,8385546,168.57,171.72,168.01
06-08-2024,168.09,7454869,167.9,170.33,167.85
05-08-2024,168.06,10338770,170.88,170.88,166.67
02-08-2024,170.08,11899040,167.44,170.35,165.15
01-08-2024,165.69,12532700,160.88,166.305,160.68
31-07-2024,160.76,9660902,160.81,162.86,159.21
30-07-2024,161.7,15746250,161.79,162.38,158.04
29-07-2024,169.93,6797832,168.85,170.5399,168.11
26-07-2024,169.11,5581557,167.25,169.32,167.03
25-07-2024,166.9,7338521,168.32,170.085,166.87
24-07-2024,168.0,5906992,166.32,168.28,165.575
23-07-2024,166.62,4863398,168.11,168.4199,166.32
22-07-2024,168.25,6383031,167.93,168.7,167.7
19-07-2024,167.96,6597090,167.97,169.035,167.13
18-07-2024,168.44,5926346,168.8,170.92,168.28
17-07-2024,169.44,7982328,167.75,170.17,167.33
16-07-2024,166.95,6378312,164.91,167.07,164.61
15-07-2024,164.58,5752513,166.47,166.615,164.46
12-07-2024,166.61,4684642,166.22,167.64,166.02
11-07-2024,165.54,5833061,166.3,166.63,164.78
10-07-2024,166.8,5037097,165.9,166.92,165.54
09-07-2024,165.66,4393179,166.63,166.759,165.14
08-07-2024,166.52,5144458,165.95,166.6734,165.62
05-07-2024,165.21,6509248,164.01,165.625,163.5
03-07-2024,163.83,2980461,163.21,164.21,162.975
02-07-2024,163.9,5449219,162.58,164.04,161.71
01-07-2024,162.72,7638639,165.59,166.21,162.2
28-06-2024,164.92,9253317,166.0,167.24,164.58
27-06-2024,166.62,5006990,167.49,168.1,165.5
26-06-2024,167.45,5164046,166.05,167.81,165.66
25-06-2024,166.85,8323968,168.63,168.9075,165.9
24-06-2024,168.45,7565304,168.76,169.41,167.48
21-06-2024,168.26,14682060,167.48,168.88,167.18
20-06-2024,167.67,8483606,168.37,168.78,166.86
18-06-2024,168.56,5112634,167.03,168.65,166.94
17-06-2024,167.5,6759352,165.85,168.71,165.4
14-06-2024,166.79,3694974,165.99,166.93,165.25
13-06-2024,166.41,4902180,164.47,167.0,164.47
12-06-2024,165.18,5474498,167.5,167.64,164.2209
11-06-2024,167.48,3947671,166.97,167.5,166.02
10-06-2024,167.35,4110668,166.78,167.715,166.08
07-06-2024,167.06,4558190,168.4,168.97,166.84
06-06-2024,168.47,6302243,165.83,168.58,165.08
05-06-2024,166.05,5243345,167.01,167.01,164.98
04-06-2024,167.01,6277001,164.79,167.12,164.4
03-06-2024,164.65,5828442,163.93,166.24,163.63
31-05-2024,164.54,10341640,162.44,164.77,161.97
30-05-2024,162.58,4756454,161.65,162.7,161.48
29-05-2024,161.65,4360383,162.65,162.74,161.42
28-05-2024,163.11,6466193,164.49,164.755,162.26
24-05-2024,165.33,3820090,165.85,166.31,165.15
23-05-2024,165.49,4729792,167.29,168.11,165.32
22-05-2024,167.81,4536733,168.01,168.425,167.6268
21-05-2024,168.35,5147065,167.76,168.535,167.2902
20-05-2024,167.31,3804823,167.55,167.88,166.7905
17-05-2024,167.64,4700819,167.67,168.0,166.88
16-05-2024,167.86,6793672,166.93,168.34,166.59
15-05-2024,166.51,5102897,165.31,166.68,165.12
14-05-2024,165.76,6009837,165.53,166.07,163.95
13-05-2024,165.87,5725523,166.85,167.65,165.36
10-05-2024,166.85,4879427,166.09,167.36,165.7
09-05-2024,166.04,4671126,165.05,166.33,165.05
08-05-2024,165.07,4579471,165.98,166.37,164.93
07-05-2024,165.76,6433090,164.98,166.04,164.59
06-05-2024,164.44,5472549,164.78,164.98,163.2629
03-05-2024,164.46,5581692,163.54,164.71,162.16
02-05-2024,163.84,5647490,163.54,164.49,162.6401
01-05-2024,163.4,7543154,163.28,164.24,162.22
30-04-2024,163.2,8106098,161.84,163.35,161.6
29-04-2024,161.66,4622164,161.17,161.79,160.41
26-04-2024,161.29,5659784,162.5,163.32,160.49
25-04-2024,162.55,7094620,162.97,164.32,162.08
24-04-2024,162.6,7217563,161.2,162.86,159.42
23-04-2024,161.5,7707250,161.68,162.1,160.415
22-04-2024,160.54,8926327,158.43,161.285,157.2525
19-04-2024,158.14,12034190,154.98,158.175,153.52
18-04-2024,157.29,7819261,156.34,157.63,155.96
17-04-2024,156.96,6621906,156.3,157.115,155.74
16-04-2024,155.95,6103296,155.85,156.94,155.665
15-04-2024,155.45,5753987,156.42,156.82,155.33
12-04-2024,155.33,6770659,155.22,155.97,154.74
11-04-2024,155.84,8209765,157.55,157.6,155.77
10-04-2024,157.24,7785084,155.65,157.58,155.65
09-04-2024,156.66,4613751,156.27,156.75,155.7
08-04-2024,156.04,5476752,155.97,156.7,155.63
05-04-2024,156.1,5121197,155.29,157.06,154.69
04-04-2024,155.45,6801662,156.88,157.08,155.41
03-04-2024,156.15,9601812,160.63,160.88,155.68
02-04-2024,160.57,6771395,159.64,160.71,159.64
