Date,Close,Volume,Open,High,Low
11-11-2024,5.06,51270560,5.18,5.23,5.0
08-11-2024,5.09,57885300,5.16,5.2,5.015
07-11-2024,5.31,56496050,5.23,5.35,5.1301
06-11-2024,5.0,81290900,5.0,5.18,4.86
05-11-2024,5.28,32012100,5.28,5.38,5.22
04-11-2024,5.14,36745790,5.13,5.3,5.12
01-11-2024,5.1,43951800,5.14,5.19,5.0
31-10-2024,5.1,50277420,5.3,5.31,5.05
30-10-2024,5.35,57415090,5.44,5.44,5.3
29-10-2024,5.6,64407150,5.9,5.905,5.59
28-10-2024,5.81,109992400,5.38,6.03,5.37
25-10-2024,5.26,67917090,5.06,5.35,5.01
24-10-2024,4.98,49328670,5.15,5.16,4.96
23-10-2024,5.19,36170880,5.22,5.29,5.15
22-10-2024,5.23,38285850,5.16,5.35,5.15
21-10-2024,5.14,35255310,5.09,5.27,5.0518
18-10-2024,5.22,66972490,5.46,5.49,5.18
17-10-2024,5.15,74651600,5.36,5.36,5.05
16-10-2024,5.51,46932630,5.66,5.69,5.475
15-10-2024,5.62,67585750,5.61,5.81,5.55
14-10-2024,5.79,80930080,6.06,6.1799,5.76
11-10-2024,6.24,42897920,6.06,6.3,6.03
10-10-2024,6.22,47902280,6.23,6.35,6.1301
09-10-2024,6.29,70071070,6.08,6.45,5.9775
08-10-2024,6.24,82359220,6.26,6.4,6.11
07-10-2024,6.79,78405040,6.81,6.93,6.56
04-10-2024,6.77,92195000,6.72,6.8,6.4
03-10-2024,6.7,99136030,6.86,6.99,6.67
02-10-2024,7.21,135598100,7.24,7.38,6.8202
01-10-2024,7.03,146968900,6.9,7.08,6.44
30-09-2024,6.68,214407000,7.7,7.71,6.66
27-09-2024,6.52,180982100,6.01,6.66,5.99
26-09-2024,5.78,139473600,6.0,6.2,5.695
25-09-2024,5.65,72687380,5.7,5.84,5.565
24-09-2024,5.94,116346100,5.76,5.96,5.61
23-09-2024,5.32,66291850,5.2,5.555,5.05
20-09-2024,5.28,53489080,5.34,5.54,5.21
19-09-2024,5.4,93014330,5.25,5.4,4.97
18-09-2024,5.02,65049700,5.45,5.48,5.01
17-09-2024,5.41,41732920,5.45,5.7,5.4
16-09-2024,5.4,37580120,5.54,5.55,5.38
13-09-2024,5.55,64294420,5.22,5.57,5.19
12-09-2024,5.28,71034930,5.54,5.54,5.1
11-09-2024,5.6,51390480,5.51,5.66,5.43
10-09-2024,5.48,58595030,5.43,5.5,5.32
09-09-2024,5.57,125459100,4.88,5.61,4.76
06-09-2024,5.02,105245000,4.94,5.18,4.9
05-09-2024,4.85,110271900,4.41,4.85,4.27
04-09-2024,4.24,49161860,4.23,4.29,4.18
03-09-2024,4.15,52928230,3.98,4.18,3.96
30-08-2024,4.04,65991110,4.19,4.205,4.0
29-08-2024,3.94,45246780,3.83,3.97,3.76
28-08-2024,3.7,62882020,3.96,4.0,3.68
27-08-2024,4.0,24654730,4.075,4.1,3.96
26-08-2024,4.03,25776180,4.06,4.1,3.98
23-08-2024,4.08,25913390,4.03,4.13,3.99
22-08-2024,3.99,25826800,4.01,4.05,3.92
21-08-2024,3.99,25739180,3.93,4.0,3.83
20-08-2024,3.85,43921560,4.12,4.17,3.83
19-08-2024,4.07,23455070,4.03,4.105,4.03
16-08-2024,3.95,28728690,3.84,3.98,3.83
15-08-2024,3.83,28523150,3.79,3.87,3.78
14-08-2024,3.72,37694790,3.915,3.925,3.71
13-08-2024,3.89,29584600,3.77,3.91,3.7607
12-08-2024,3.76,20645490,3.8,3.83,3.74
09-08-2024,3.78,25866110,3.8,3.885,3.75
08-08-2024,3.82,35671050,3.73,3.89,3.63
07-08-2024,3.67,33486290,3.81,3.91,3.67
06-08-2024,3.77,37777500,3.9,3.92,3.76
05-08-2024,3.89,53237040,3.74,3.97,3.66
02-08-2024,4.05,39936770,3.95,4.25,3.93
01-08-2024,4.06,88261530,4.45,4.45,3.99
31-07-2024,4.44,33546760,4.5,4.615,4.43
30-07-2024,4.42,41983820,4.34,4.44,4.31
29-07-2024,4.39,33918320,4.44,4.47,4.3
26-07-2024,4.43,32103360,4.31,4.43,4.24
25-07-2024,4.27,40111280,4.39,4.44,4.27
24-07-2024,4.3,43266710,4.39,4.42,4.26
23-07-2024,4.48,37498740,4.58,4.5983,4.47
22-07-2024,4.69,34131520,4.63,4.7,4.58
19-07-2024,4.46,22403650,4.51,4.515,4.41
18-07-2024,4.54,36332690,4.63,4.71,4.51
17-07-2024,4.59,54980520,4.83,4.865,4.55
16-07-2024,4.9,50004830,4.62,4.92,4.62
15-07-2024,4.63,58503300,4.81,4.81,4.53
12-07-2024,4.87,51797740,4.71,4.92,4.7
11-07-2024,4.68,56422760,4.79,4.8,4.6
10-07-2024,4.62,43456570,4.51,4.77,4.5
09-07-2024,4.5,27018320,4.47,4.54,4.42
08-07-2024,4.46,39272450,4.54,4.61,4.44
05-07-2024,4.62,61604010,4.725,4.75,4.405
03-07-2024,4.87,72459850,4.59,5.04,4.59
02-07-2024,4.53,35412310,4.45,4.54,4.38
01-07-2024,4.44,55633160,4.35,4.51,4.25
28-06-2024,4.16,47669530,4.35,4.36,4.14
27-06-2024,4.39,37306080,4.57,4.58,4.37
26-06-2024,4.64,53248080,4.38,4.68,4.335
25-06-2024,4.37,23318420,4.4,4.43,4.32
24-06-2024,4.44,28749720,4.3,4.53,4.29
21-06-2024,4.3,22036710,4.31,4.3498,4.2402
20-06-2024,4.33,28737150,4.37,4.45,4.25
18-06-2024,4.43,28884900,4.355,4.47,4.32
17-06-2024,4.43,31751380,4.32,4.48,4.235
14-06-2024,4.33,23556990,4.36,4.38,4.29
13-06-2024,4.41,27306330,4.47,4.61,4.4
12-06-2024,4.45,62311430,4.47,4.625,4.31
11-06-2024,4.46,66199180,4.79,4.8,4.35
10-06-2024,4.72,38316350,4.82,4.85,4.67
07-06-2024,4.83,34658600,4.82,4.96,4.8
06-06-2024,4.91,84453810,4.95,5.0,4.74
05-06-2024,5.27,49656080,5.33,5.35,5.15
04-06-2024,5.21,29404530,5.31,5.37,5.2
03-06-2024,5.34,53566740,5.54,5.63,5.19
31-05-2024,5.39,63176620,5.27,5.52,5.26
30-05-2024,5.4,69440020,4.95,5.44,4.93
29-05-2024,4.93,37706250,4.82,5.0,4.81
28-05-2024,4.9,46519660,4.97,5.01,4.83
24-05-2024,4.83,32325260,4.81,4.92,4.77
23-05-2024,4.8,79112840,5.12,5.13,4.71
22-05-2024,5.24,36743180,5.26,5.31,5.14
21-05-2024,5.25,75042180,5.19,5.5399,5.14
20-05-2024,5.22,47706060,5.25,5.32,5.1
17-05-2024,5.28,58708430,5.28,5.39,5.04
16-05-2024,5.26,41788870,5.37,5.46,5.22
15-05-2024,5.33,112034600,6.0,6.05,5.21
14-05-2024,5.79,80661010,5.51,5.85,5.455
13-05-2024,5.41,76621100,5.2,5.66,5.16
10-05-2024,5.07,49019550,5.28,5.35,5.0317
09-05-2024,5.33,34679740,5.37,5.41,5.23
08-05-2024,5.22,54908670,5.25,5.28,5.11
07-05-2024,5.51,43754080,5.54,5.83,5.46
06-05-2024,5.69,75633390,5.75,6.04,5.57
03-05-2024,5.57,54697740,5.525,5.58,5.33
02-05-2024,5.59,99532820,5.61,5.67,5.17
01-05-2024,5.27,148038900,4.76,5.44,4.74
30-04-2024,4.72,52936250,4.7,4.75,4.51
29-04-2024,4.6,56379780,4.67,4.68,4.47
26-04-2024,4.49,59264480,4.43,4.54,4.39
25-04-2024,4.13,25888390,4.05,4.17,4.03
24-04-2024,4.15,34562030,4.15,4.22,4.05
23-04-2024,4.01,41987840,3.99,4.13,3.98
22-04-2024,4.0,60179620,3.68,4.05,3.61
19-04-2024,3.8,35883780,3.86,3.92,3.78
18-04-2024,4.0,38392130,3.9,4.09,3.85
17-04-2024,3.91,38766960,3.865,3.96,3.84
16-04-2024,3.81,42222200,3.75,3.91,3.71
15-04-2024,3.89,70661320,4.19,4.19,3.8201
12-04-2024,4.11,74932100,4.35,4.35,4.085
11-04-2024,4.46,39040170,4.6,4.61,4.43
10-04-2024,4.59,32567960,4.58,4.69,4.54
09-04-2024,4.71,76665950,4.43,4.79,4.42
08-04-2024,4.37,47453510,4.41,4.53,4.37
05-04-2024,4.39,43081000,4.5,4.58,4.38
04-04-2024,4.5,53856510,4.55,4.75,4.49
03-04-2024,4.49,33078470,4.46,4.51,4.36
02-04-2024,4.54,38932680,4.47,4.58,4.38
01-04-2024,4.64,42632700,4.63,4.75,4.565
28-03-2024,4.5,55938540,4.68,4.74,4.48
27-03-2024,4.67,85346540,4.63,4.73,4.45
26-03-2024,4.78,83744680,4.9,4.92,4.77
25-03-2024,4.91,56419440,4.92,5.09,4.89
22-03-2024,4.89,43658300,4.93,4.96,4.8
21-03-2024,5.0,46800090,5.06,5.1,4.96
20-03-2024,5.1,59385470,5.11,5.14,5.04
19-03-2024,5.19,77042860,5.485,5.49,5.13
18-03-2024,5.54,48581870,5.83,5.86,5.48
15-03-2024,5.58,33811130,5.71,5.76,5.57
14-03-2024,5.58,42679880,5.82,5.82,5.54
13-03-2024,5.92,42657900,6.08,6.2699,5.91
12-03-2024,6.19,38392940,6.19,6.3,6.09
11-03-2024,6.1,64025250,5.92,6.23,5.88
08-03-2024,5.8,39080170,5.78,5.915,5.66
07-03-2024,5.77,46370270,5.665,5.79,5.47
06-03-2024,5.77,77698770,5.39,5.88,5.38
05-03-2024,5.48,94784650,5.17,5.62,4.78
04-03-2024,5.33,94275780,5.58,5.61,5.25
01-03-2024,5.78,39578620,5.73,5.84,5.675
29-02-2024,5.75,63187130,5.56,5.79,5.54
28-02-2024,5.43,58390490,5.6,5.61,5.39
27-02-2024,5.78,53722070,5.81,5.93,5.72
26-02-2024,5.65,60295260,5.54,5.77,5.5
23-02-2024,5.4,75135240,5.67,5.68,5.37
22-02-2024,5.85,49536290,5.97,5.97,5.71
21-02-2024,5.97,33907150,6.02,6.17,5.9501
20-02-2024,5.96,39772240,5.93,6.03,5.79
16-02-2024,6.14,41550950,6.24,6.34,6.09
15-02-2024,6.09,54076740,6.05,6.29,6.04
14-02-2024,6.0,41176840,5.88,6.015,5.84
13-02-2024,5.7,52054380,5.86,5.88,5.65
12-02-2024,6.08,43673000,5.91,6.28,5.9
09-02-2024,5.93,25563480,5.84,5.93,5.75
08-02-2024,5.82,32055300,5.82,5.88,5.72
07-02-2024,5.86,42818440,5.81,6.0,5.73
06-02-2024,6.03,88353580,5.68,6.05,5.6
05-02-2024,5.38,45420760,5.48,5.48,5.3
02-02-2024,5.54,56919300,5.56,5.59,5.43
01-02-2024,5.71,51425370,5.73,5.915,5.54
31-01-2024,5.62,75799330,5.69,5.86,5.43
30-01-2024,5.79,66444760,6.01,6.04,5.79
29-01-2024,6.14,40118390,6.08,6.16,5.95
26-01-2024,6.14,39437580,6.0,6.15,5.965
25-01-2024,6.04,59221390,5.91,6.08,5.83
24-01-2024,6.07,76000960,6.5,6.59,6.01
23-01-2024,6.21,119010800,6.4,6.876,6.17
22-01-2024,5.98,74314670,5.83,6.17,5.8
19-01-2024,6.06,82433120,6.16,6.16,5.86
18-01-2024,6.28,71543530,6.5,6.54,6.1
17-01-2024,6.3,63011770,6.21,6.42,6.12
16-01-2024,6.55,121078900,7.04,7.05,6.45
12-01-2024,7.17,49034580,7.26,7.53,7.16
11-01-2024,7.4,52385010,7.57,7.665,7.325
10-01-2024,7.41,54569580,7.53,7.55,7.31
09-01-2024,7.56,70100950,7.8,7.84,7.52
08-01-2024,7.93,49933550,7.86,8.05,7.73
05-01-2024,8.06,40831670,8.16,8.25,8.03
04-01-2024,8.27,38412270,8.33,8.465,8.25
03-01-2024,8.5,58659340,8.12,8.56,8.1
02-01-2024,8.42,81640310,8.93,8.94,8.38
29-12-2023,9.07,74905090,9.43,9.53,8.95
28-12-2023,9.43,91988340,9.16,9.57,9.12
27-12-2023,9.1,99997200,9.26,9.33,8.89
26-12-2023,9.33,130928200,8.77,9.43,8.63
22-12-2023,8.42,56076020,8.1,8.59,8.08
21-12-2023,8.29,48972680,8.15,8.3091,7.99
20-12-2023,7.92,105322300,8.63,8.7,7.92
19-12-2023,8.82,88664040,8.515,8.9,8.51
18-12-2023,8.35,131953000,8.59,8.64,8.23
15-12-2023,7.98,71384370,8.02,8.14,7.74
14-12-2023,7.86,94106080,7.47,8.015,7.46
13-12-2023,7.43,57470150,7.17,7.45,7.05
12-12-2023,7.27,59007240,7.59,7.6,7.17
11-12-2023,7.68,39418170,7.49,7.7,7.405
08-12-2023,7.38,42786190,7.365,7.57,7.3
07-12-2023,7.49,63206590,7.85,7.96,7.43
06-12-2023,7.75,118989400,7.65,8.28,7.59
05-12-2023,7.43,89837100,7.59,7.96,7.38
04-12-2023,7.32,53717890,7.14,7.38,7.03
01-12-2023,7.15,46777990,7.14,7.26,7.01
30-11-2023,7.27,45953450,7.25,7.34,7.13
29-11-2023,7.18,47706960,7.29,7.515,7.13
28-11-2023,7.21,47842470,7.2,7.26,7.02
27-11-2023,7.19,33857640,7.31,7.38,7.18
24-11-2023,7.4,22881080,7.4,7.48,7.28
22-11-2023,7.47,22087950,7.58,7.635,7.3641
21-11-2023,7.51,35697220,7.62,7.71,7.42
20-11-2023,7.8,62067270,7.68,8.0277,7.6469
17-11-2023,7.39,26852180,7.4,7.499,7.25
16-11-2023,7.4,68800070,7.58,7.5913,7.14
15-11-2023,7.94,55974000,7.64,8.2,7.63
14-11-2023,7.58,43383080,7.36,7.635,7.33
13-11-2023,7.22,34211250,7.27,7.43,7.11
10-11-2023,7.24,39953750,7.61,7.64,7.16
09-11-2023,7.47,36134830,7.82,7.96,7.46
08-11-2023,7.92,37957630,7.81,8.0,7.675
07-11-2023,7.89,25233500,7.88,7.9,7.7
06-11-2023,7.97,43859700,8.45,8.505,7.86
03-11-2023,8.23,56107380,8.01,8.3,7.87
02-11-2023,7.79,43628450,7.72,7.93,7.6905
01-11-2023,7.45,33335130,7.31,7.45,7.19
31-10-2023,7.3,29679170,7.34,7.4,7.18
30-10-2023,7.52,25727710,7.56,7.64,7.395
27-10-2023,7.44,33773480,7.78,7.81,7.385
26-10-2023,7.63,27283560,7.62,7.8,7.52
25-10-2023,7.6,28413840,7.82,7.85,7.6
24-10-2023,8.09,42841660,7.56,8.12,7.56
23-10-2023,7.59,33550410,7.49,7.7,7.31
20-10-2023,7.58,31787780,7.52,7.85,7.47
19-10-2023,7.69,39606100,7.76,7.88,7.585
18-10-2023,7.91,51395170,8.53,8.54,7.865
17-10-2023,8.53,18390150,8.33,8.65,8.29
16-10-2023,8.52,24550100,8.37,8.53,8.245
13-10-2023,8.47,28408520,8.4,8.55,8.27
12-10-2023,8.44,37144130,8.88,8.97,8.38
11-10-2023,8.97,34029930,8.95,9.19,8.9
10-10-2023,8.83,42385730,8.35,8.88,8.35
09-10-2023,8.34,39704420,8.51,8.535,8.11
06-10-2023,8.72,23335960,8.49,8.75,8.46
05-10-2023,8.66,21933490,8.67,8.71,8.51
04-10-2023,8.83,28056870,8.51,8.85,8.48
03-10-2023,8.61,27185730,8.55,8.76,8.54
02-10-2023,8.79,38390580,8.9,9.0,8.7
29-09-2023,9.04,40994080,9.11,9.22,8.8648
28-09-2023,8.91,55093420,8.37,8.99,8.36
27-09-2023,8.46,24089860,8.38,8.51,8.3
26-09-2023,8.41,42481590,8.15,8.58,7.925
25-09-2023,8.35,56326960,8.07,8.45,7.93
22-09-2023,8.53,36245150,8.74,8.795,8.45
21-09-2023,8.45,49441390,8.45,8.62,8.35
20-09-2023,8.82,122782100,8.76,9.06,8.67
19-09-2023,8.55,215935800,9.54,9.6,8.41
18-09-2023,10.31,22615010,10.37,10.47,10.215
15-09-2023,10.43,40105900,10.53,10.72,10.29
14-09-2023,10.38,26475950,10.15,10.38,10.135
13-09-2023,10.07,36890020,10.2,10.47,10.06
12-09-2023,10.57,38296980,10.23,10.88,10.21
11-09-2023,10.33,31145660,10.39,10.43,10.02
08-09-2023,10.04,26236140,10.06,10.15,9.92
07-09-2023,10.08,44603830,10.17,10.27,9.93
06-09-2023,10.58,31426070,10.71,10.91,10.47
05-09-2023,10.81,37911840,10.73,11.18,10.72
01-09-2023,11.0,77064190,10.53,11.35,10.5
31-08-2023,10.27,51094250,10.73,10.8,10.26
30-08-2023,10.67,46265630,10.43,10.79,10.39
29-08-2023,10.89,124332200,10.3,10.94,9.46
28-08-2023,11.02,41943220,11.05,11.13,10.7
25-08-2023,10.83,31666240,10.58,10.8691,10.48
24-08-2023,10.64,27131740,10.96,11.11,10.615
23-08-2023,10.84,30404960,10.56,11.0,10.5
22-08-2023,10.79,43691860,11.29,11.33,10.5304
21-08-2023,10.95,54080130,10.73,11.17,10.535
18-08-2023,10.67,68527020,10.95,11.15,10.62
17-08-2023,11.5,73315610,11.91,12.405,11.47
16-08-2023,11.4,59478350,11.18,11.76,11.15
15-08-2023,11.83,71428640,12.26,12.34,11.55
14-08-2023,12.52,67398250,12.4,12.555,11.94
11-08-2023,12.9,54695740,12.77,13.01,12.551
10-08-2023,13.25,55642980,13.61,13.97,13.19
09-08-2023,13.46,57706700,13.945,14.12,13.2141
08-08-2023,14.07,63081150,13.95,14.17,13.73
07-08-2023,14.82,53768450,15.02,15.2,14.38
04-08-2023,14.72,85225320,15.86,16.18,14.7
03-08-2023,15.46,86718650,14.68,15.86,14.66
02-08-2023,14.57,79548600,13.8,14.7598,13.67
01-08-2023,14.63,90101890,14.86,15.255,14.41
31-07-2023,15.3,117336000,15.12,15.46,14.73
28-07-2023,14.74,115315800,13.8,14.78,13.5607
27-07-2023,13.24,103657400,13.86,13.87,13.16
26-07-2023,13.17,137044600,12.4,13.375,12.21
25-07-2023,11.91,102994600,12.34,12.83,11.88
24-07-2023,11.73,108759300,10.905,12.05,10.84
21-07-2023,10.58,33088980,10.5,10.77,10.38
20-07-2023,10.32,34681100,10.47,10.5,10.22
