Date,Close,Volume,Open,High,Low
11-11-2024,194.05,16610010,197.96,198.2,191.49
08-11-2024,201.2,13112090,203.89,206.61,200.02
07-11-2024,201.19,14865160,196.31,202.01,196.25
06-11-2024,193.22,19834870,192.04,194.26,188.5
05-11-2024,195.76,10339210,193.58,198.34,193.49
04-11-2024,191.56,10917290,193.7,194.36,190.6
01-11-2024,192.95,12691190,194.2,198.17,192.55
31-10-2024,190.54,13062660,192.86,192.86,187.66
30-10-2024,194.48,10007770,194.38,195.45,192.61
29-10-2024,196.94,13779110,194.39,198.79,193.6
28-10-2024,194.68,20135350,199.26,199.74,194.5201
25-10-2024,203.44,13434860,200.25,205.2,200.0
24-10-2024,197.93,9935780,198.96,200.5,197.41
23-10-2024,200.86,16535700,196.68,203.13,196.23
22-10-2024,198.48,11165070,199.07,200.17,197.11
21-10-2024,201.95,14819950,200.81,203.44,199.66
18-10-2024,200.78,21030820,205.95,205.95,200.76
17-10-2024,205.84,62274670,203.35,212.6,201.97
16-10-2024,187.48,18689220,189.78,190.01,186.66
15-10-2024,187.13,21812670,192.96,193.62,184.25
14-10-2024,192.21,11714390,190.61,194.25,190.5029
11-10-2024,190.81,12163860,188.17,191.4899,188.01
10-10-2024,185.78,6443849,185.86,187.08,184.4
09-10-2024,187.14,11925010,187.8,188.0,182.26
08-10-2024,186.05,10394170,184.96,186.54,182.03
07-10-2024,184.51,12054160,181.6,185.0,180.93
04-10-2024,181.16,10001900,179.7,181.23,177.55
03-10-2024,179.48,12555030,175.8,180.79,175.1218
02-10-2024,175.8,11164370,172.96,176.9739,170.7899
01-10-2024,172.07,11850170,175.31,175.99,170.78
30-09-2024,173.67,13561650,174.27,176.82,171.93
27-09-2024,177.97,17908400,185.84,185.94,177.4
26-09-2024,186.83,15103400,188.495,189.33,183.8
25-09-2024,182.35,8280927,181.52,183.82,181.21
24-09-2024,181.97,14576110,179.5,182.78,177.05
23-09-2024,174.76,5794249,174.84,175.4,173.7
20-09-2024,174.08,18429780,174.87,176.02,173.6501
19-09-2024,176.22,15855050,174.38,177.78,172.63
18-09-2024,167.28,9115969,168.46,171.6,167.0
17-09-2024,167.35,8582819,169.35,170.2402,166.355
16-09-2024,169.08,12194260,169.91,170.56,166.77
13-09-2024,172.5,8787842,172.24,174.765,171.45
12-09-2024,171.43,13415500,170.6,172.15,169.0
11-09-2024,170.23,15059550,163.8,170.38,161.42
10-09-2024,162.43,11910830,162.89,162.89,157.6931
09-09-2024,162.78,10339020,160.76,163.1,160.25
06-09-2024,156.82,14964410,164.89,165.4053,156.01
05-09-2024,163.7,10260580,161.54,164.59,161.05
04-09-2024,160.87,11317390,159.3,163.88,158.95
03-09-2024,160.49,18464360,168.0,168.679,159.8
30-08-2024,171.7,9481403,170.055,172.23,168.75
29-08-2024,169.15,13213190,168.65,175.42,167.51
28-08-2024,169.2,10581370,171.32,172.465,166.2
27-08-2024,170.55,9186041,166.42,170.58,165.04
26-08-2024,169.07,9611328,170.38,171.05,167.82
23-08-2024,171.28,12189130,169.0,173.29,167.915
22-08-2024,166.44,13546120,172.0,173.28,166.06
